signal_id,name,category,source_module,data_source_url_or_path,data_status,earliest_date,latest_date,n_obs,cost_tier,priority,notes
T1B-24,SOFR-IORB spread,Liquidity,A6 fred loader (planned),"NY Fed / FRED (SOFR, IORB)",available_fred,,,,free,B,
T1B-31,10Y-2Y real yield diff,YieldCurve,A6 fred loader (planned),FRED DFII10 - DFII2,available_fred,,,,free,B,
T1B-33,NY Fed Nowcast,Macro,A10 manual loader (planned),NY Fed weekly publication,needs_manual_csv,,,,free,B,currently paused; check status
T1B-35,Cleveland Fed Inflation Nowcast,Macro,A10 manual loader (planned),Cleveland Fed monthly,needs_manual_csv,,,,free,B,
T1B-39,NDX Forward PE z-score,Earnings,A10 manual loader (planned),EODHD / Finnhub,needs_paid_api,,,,low_paid,B,
T1B-43,Silver/Gold ratio,Cross-Asset,A7 yahoo loader (planned),SI=F / GC=F via yfinance,available_yahoo,,,,free,B,
T1B-44,Oil (WTI) 5d change,Cross-Asset,A7 yahoo loader (planned),CL=F via yfinance,available_yahoo,,,,free,B,
T1B-47,Mag-7 earnings season flag,Calendar,A10 manual loader (planned),Earnings calendar,needs_manual_csv,,,,free,B,computable from earnings dates
T1B-51,Headline News risk-off NLP,NLP,A10 manual loader (planned),News API + LLM,needs_paid_api,,,,mid_paid,B,
T1B-52,Google Trends TQQQ/QQQ,NLP/Search,new module (planned),pytrends,needs_implementation,,,,free,B,
NEW-1,SPX 25-delta put skew,Options-Implied,A9 cboe loader (planned),CBOE SKEW or computed,available_cboe,,,,free,N,tail risk
NEW-2,GEX (S&P 500 Gamma Exposure),Options,new module (planned),SqueezeMetrics scrape,needs_implementation,,,,mid_paid,N,paid but scrapable mirror
NEW-3,DIX (Dark Index),Options,new module (planned),SqueezeMetrics scrape,needs_implementation,,,,mid_paid,N,
NEW-4,0DTE option flow ratio,Options,A9 cboe loader (planned),CBOE aggregate,available_cboe,,,,free,N,
NEW-5,VVIX/VIX ratio,Options,A7 yahoo loader (planned),"derived from Yahoo ^VVIX, ^VIX",available_yahoo,,,,free,N,vol risk premium
NEW-6,VIX9D/VIX ratio,Options,A7 yahoo loader (planned),"derived from Yahoo ^VIX9D, ^VIX",available_yahoo,,,,free,N,short-term stress
NEW-7,TED-equivalent (DTB3-SOFR),Cross-Asset,A6 fred loader (planned),"FRED DTB3, SOFR (computed)",available_fred,,,,free,N,bank funding stress
NEW-8,USD/JPY 3M XCB,Cross-Asset,new module (planned),Bloomberg/Polygon,needs_paid_api,,,,mid_paid,N,
NEW-9,HYG/SHY ratio,Cross-Asset,A7 yahoo loader (planned),"HYG, SHY via yfinance",available_yahoo,,,,free,N,risk-on/off
NEW-10,Bond-Stock corr rolling 60d,Cross-Asset,computed locally,derived from repo prices,available_repo,,,,free,N,compute via existing CSVs
NEW-11,AAA-BAA spread,Cross-Asset,A6 fred loader (planned),"FRED AAA, BAA (also REPO-1)",available_fred,,,,free,N,duplicates REPO-1
NEW-12,Single-A OAS,Cross-Asset,A6 fred loader (planned),FRED BAMLC1A0C13Y,available_fred,,,,free,N,
NEW-13,Fed Balance Sheet weekly delta,Policy,A6 fred loader (planned),FRED WALCL,available_fred,,,,free,N,
NEW-14,Treasury General Account balance,Policy,A6 fred loader (planned),FRED WTREGEN,available_fred,,,,free,N,
NEW-15,Reverse Repo balance,Policy,A6 fred loader (planned),FRED RRPONTSYD,available_fred,,,,free,N,
NEW-16,Net Treasury issuance schedule,Policy,A10 manual loader (planned),Treasury QRA,needs_manual_csv,,,,free,N,
NEW-17,Fed Funds Rate change delta,Policy,A6 fred loader (planned),FRED DFF (also REPO-3),available_fred,,,,free,N,duplicates REPO-3
NEW-18,30Y-10Y term premium,YieldCurve,computed locally,repo dgs30/dgs10 (also REPO-2),available_repo,,,,free,N,duplicates REPO-2
NEW-19,TIPS 5Y-10Y slope,YieldCurve,A6 fred loader (planned),"FRED DFII5, DFII10",available_fred,,,,free,N,
NEW-20,Yield curve curvature,YieldCurve,A6 fred loader (planned),"FRED DGS2, DGS5, DGS10",available_fred,,,,free,N,5Y - (2Y+10Y)/2
NEW-21,Bloomberg ECO US Surprise,Macro Surprise,new module (planned),Bloomberg ECO,needs_paid_api,,,,mid_paid,N,
NEW-22,ISM Manufacturing PMI delta,Macro,A6 fred loader (planned),FRED NAPM,available_fred,,,,free,N,
NEW-23,Initial Jobless Claims weekly delta,Macro,A6 fred loader (planned),FRED ICSA,available_fred,,,,free,N,
NEW-24,"Wikipedia ""bear market"" page views",Behavioral,new module (planned),Wikimedia REST API,needs_implementation,,,,free,N,free public API
NEW-25,RVOL vs IV gap (60d - VIX),Volatility,computed locally,repo prices + vix,available_repo,,,,free,N,compute via existing CSVs
REPO-1,AAA-BAA spread (credit quality),Cross-Asset,scripts/derive_repo_signals.py,data/aaa_monthly.csv + data/baa_monthly.csv,available_repo,1919-01-01,2026-03-01,1287,free,R,materialized
REPO-2,30Y-10Y term premium,YieldCurve,scripts/derive_repo_signals.py,data/dgs30_daily.csv + data/dgs10_daily.csv,available_repo,1977-02-15,2026-05-07,12302,free,R,materialized
REPO-3,Fed Funds Δ (1mo),Policy,scripts/derive_repo_signals.py,data/dff_daily.csv,available_repo,1954-07-22,2026-03-26,26181,free,R,materialized
REPO-4,Fed Funds vs 10Y spread,YieldCurve,scripts/derive_repo_signals.py,data/dff_daily.csv + data/dgs10_daily.csv,available_repo,1962-01-02,2026-03-26,16042,free,R,materialized
REPO-5,DGP (DB Gold 2x ETN) 21d log-return,Cross-Asset,scripts/derive_repo_signals.py,data/dgp_daily.csv,available_repo,2009-02-03,2026-04-09,4322,free,R,identified: 2x gold ETN via DXY beta=-1.98
REPO-6,DRN (Direxion 3x REIT) 21d log-return,Cross-Asset,scripts/derive_repo_signals.py,data/drn_daily.csv,available_repo,2009-08-14,2026-04-09,4188,free,R,"identified: 3x VNQ-equivalent, beta=2.93"
REPO-7,CPI YoY surprise vs 12mo trailing avg,Macro,scripts/derive_repo_signals.py,data/cpiaucsl_monthly.csv,available_repo,1948-12-01,2026-03-01,927,free,R,materialized
REPO-8,ML predictions sign,ML,scripts/derive_repo_signals.py,data/ml_oos_predictions.csv,available_repo,2000-01-03,2026-02-25,6576,free,R,materialized (pred col sign)
REPO-9,ML features PC1,ML,scripts/derive_repo_signals.py,data/ml_features.csv,available_repo,2007-01-03,2026-02-25,4814,free,R,"materialized (StandardScaler+PCA n=1, 120 features)"
REPO-10,Macro features (existing engineered),Macro,pre-existing in repo,data/macro_features.csv,available_repo,,,,free,R,"50 cols 1974-2026; treat as feature pool, pick best by IC in Session 5"
